iter,base_p25,base_med,base_p75,vem_p25,vem_med,vem_p75,ecm_p25,ecm_med,ecm_p75,gem_p25,gem_med,gem_p75
50,0.490615,0.588018,0.788379,0.510028,0.601753,0.821977,0.490266,0.589145,0.789076,0.491389,0.574446,0.780095
51,0.490555,0.588238,0.788510,0.510028,0.601765,0.821977,0.490199,0.589276,0.789191,0.491204,0.574521,0.780776
52,0.490493,0.588438,0.788635,0.510028,0.601776,0.821977,0.490134,0.589393,0.789298,0.491046,0.574588,0.781382
53,0.490430,0.588620,0.788753,0.510029,0.601785,0.821977,0.490072,0.589498,0.789397,0.490913,0.574649,0.781922
54,0.490367,0.588785,0.788865,0.510029,0.601794,0.821977,0.490013,0.589592,0.789488,0.490804,0.574703,0.782403
55,0.490305,0.588935,0.788971,0.510029,0.601801,0.821977,0.489957,0.589676,0.789573,0.490716,0.574752,0.782833
56,0.490244,0.589072,0.789072,0.510029,0.601808,0.821977,0.489904,0.589751,0.789651,0.490647,0.574796,0.783217
57,0.490185,0.589195,0.789166,0.510029,0.601813,0.821977,0.489854,0.589818,0.789723,0.490596,0.574836,0.783562
58,0.490128,0.589307,0.789256,0.510029,0.601818,0.821977,0.489808,0.589877,0.789790,0.490560,0.575387,0.783873
59,0.490073,0.589408,0.789340,0.510029,0.601823,0.821977,0.489764,0.589930,0.789852,0.490538,0.575956,0.784154
60,0.490021,0.589500,0.789419,0.510029,0.601826,0.821977,0.489724,0.589978,0.789909,0.490528,0.576509,0.784409
61,0.489971,0.589583,0.789494,0.510029,0.601830,0.821977,0.489686,0.590020,0.789961,0.490528,0.577046,0.784642
62,0.489923,0.589659,0.789564,0.510029,0.601833,0.821977,0.489651,0.590058,0.790010,0.490536,0.577566,0.784855
63,0.489879,0.589727,0.789631,0.510029,0.601835,0.821977,0.489619,0.590092,0.790055,0.490551,0.578071,0.785052
64,0.489836,0.589789,0.789693,0.510029,0.601837,0.821977,0.489589,0.590122,0.790096,0.490571,0.578559,0.785234
65,0.489796,0.589845,0.789751,0.510029,0.601839,0.821977,0.489562,0.590149,0.790134,0.490596,0.579033,0.785403
66,0.489759,0.589895,0.789805,0.510029,0.601841,0.821977,0.489537,0.590173,0.790169,0.490623,0.579491,0.785562
67,0.489723,0.589941,0.789856,0.510029,0.601842,0.821977,0.489513,0.590194,0.790201,0.490652,0.579934,0.785711
68,0.489690,0.589982,0.789904,0.510029,0.601843,0.821977,0.489492,0.590213,0.790231,0.490681,0.580362,0.785852
69,0.489660,0.590020,0.789949,0.510029,0.601844,0.821977,0.489472,0.590230,0.790258,0.490710,0.580775,0.785985
70,0.489631,0.590053,0.789991,0.510029,0.601845,0.821977,0.489454,0.590246,0.790283,0.490739,0.581175,0.786113
71,0.489604,0.590084,0.790030,0.510029,0.601846,0.821977,0.489438,0.590259,0.790306,0.490766,0.581560,0.786234
72,0.489579,0.590111,0.790067,0.510029,0.601847,0.821977,0.489422,0.590271,0.790328,0.490791,0.581931,0.786351
73,0.489556,0.590136,0.790101,0.510029,0.601847,0.821977,0.489408,0.590282,0.790347,0.490814,0.582289,0.786464
74,0.489534,0.590159,0.790133,0.510029,0.601848,0.821977,0.489396,0.590291,0.790365,0.490833,0.582634,0.786572
75,0.489514,0.590179,0.790163,0.510029,0.601848,0.821977,0.489384,0.590300,0.790382,0.490850,0.582966,0.786678
76,0.489495,0.590198,0.790191,0.510029,0.601849,0.821977,0.489373,0.590308,0.790397,0.490864,0.583286,0.786780
77,0.489478,0.590214,0.790217,0.510029,0.601849,0.821977,0.489364,0.590314,0.790411,0.490875,0.583593,0.786879
78,0.489461,0.590229,0.790241,0.510029,0.601850,0.821977,0.489355,0.590320,0.790424,0.490882,0.583889,0.786975
79,0.489446,0.590243,0.790264,0.510029,0.601850,0.821977,0.489347,0.590326,0.790436,0.490887,0.584173,0.787069
80,0.489433,0.590255,0.790285,0.510029,0.601850,0.821977,0.489339,0.590331,0.790446,0.490888,0.584445,0.787161
