iter,base_p25,base_med,base_p75,vem_p25,vem_med,vem_p75,ecm_p25,ecm_med,ecm_p75,gem_p25,gem_med,gem_p75
48,4.419537,6.223024,7.581188,4.204321,5.938766,7.130540,4.419537,6.223024,7.582135,4.419502,6.222989,7.536382
49,4.419537,6.223024,7.581419,4.204321,5.938766,7.130527,4.419537,6.223024,7.582250,4.419509,6.222999,7.541573
50,4.419537,6.223024,7.581618,4.204321,5.938766,7.130516,4.419537,6.223024,7.582346,4.419515,6.223006,7.544826
51,4.419537,6.223024,7.581790,4.204321,5.938766,7.130507,4.419537,6.223024,7.582428,4.419520,6.223011,7.547736
52,4.419537,6.223024,7.581939,4.204320,5.938766,7.130499,4.419537,6.223024,7.582497,4.419524,6.223014,7.550359
53,4.419537,6.223024,7.582067,4.204320,5.938766,7.130493,4.419537,6.223024,7.582555,4.419527,6.223017,7.552737
54,4.419537,6.223024,7.582177,4.204320,5.938766,7.130488,4.419537,6.223024,7.582604,4.419529,6.223019,7.554906
55,4.419537,6.223024,7.582272,4.204320,5.938766,7.130484,4.419537,6.223024,7.582645,4.419531,6.223020,7.556892
56,4.419537,6.223024,7.582354,4.204320,5.938766,7.130481,4.419537,6.223024,7.582680,4.419532,6.223021,7.558717
57,4.419537,6.223024,7.582425,4.204320,5.938766,7.130478,4.419537,6.223024,7.582709,4.419533,6.223022,7.560401
58,4.419537,6.223024,7.582486,4.204320,5.938766,7.130475,4.419537,6.223024,7.582734,4.419534,6.223022,7.561958
59,4.419537,6.223024,7.582539,4.204320,5.938766,7.130474,4.419537,6.223024,7.582755,4.419535,6.223023,7.563399
60,4.419537,6.223024,7.582584,4.204320,5.938766,7.130472,4.419537,6.223024,7.582772,4.419535,6.223023,7.564737
61,4.419537,6.223024,7.582623,4.204320,5.938766,7.130471,4.419537,6.223024,7.582787,4.419536,6.223023,7.565980
62,4.419537,6.223024,7.582657,4.204320,5.938766,7.130470,4.419537,6.223024,7.582799,4.419536,6.223023,7.567135
63,4.419537,6.223024,7.582686,4.204320,5.938766,7.130469,4.419537,6.223024,7.582810,4.419536,6.223023,7.568211
64,4.419537,6.223024,7.582711,4.204320,5.938766,7.130468,4.419537,6.223024,7.582819,4.419537,6.223023,7.569213
65,4.419537,6.223024,7.582732,4.204320,5.938766,7.130467,4.419537,6.223024,7.582826,4.419537,6.223024,7.570146
66,4.419537,6.223024,7.582751,4.204320,5.938766,7.130467,4.419537,6.223024,7.582832,4.419537,6.223024,7.571015
67,4.419537,6.223024,7.582766,4.204320,5.938766,7.130466,4.419537,6.223024,7.582837,4.419537,6.223024,7.571826
68,4.419537,6.223024,7.582780,4.204320,5.938766,7.130466,4.419537,6.223024,7.582842,4.419537,6.223024,7.572582
69,4.419537,6.223024,7.582792,4.204320,5.938766,7.130466,4.419537,6.223024,7.582845,4.419537,6.223024,7.573287
