x,truth_pdf,base_pdf,vem_pdf,ecm_pdf,gem_pdf
5.030665,0.036451,0.041872,0.041719,0.041872,0.041872
5.075327,0.034518,0.039435,0.039249,0.039435,0.039434
5.119990,0.032642,0.037080,0.036866,0.037080,0.037080
5.164652,0.030826,0.034812,0.034572,0.034812,0.034812
5.209315,0.029070,0.032631,0.032368,0.032631,0.032630
5.253977,0.027376,0.030538,0.030256,0.030538,0.030538
5.298640,0.025745,0.028534,0.028237,0.028534,0.028534
5.343302,0.024177,0.026620,0.026310,0.026620,0.026621
5.387965,0.022674,0.024796,0.024475,0.024796,0.024796
5.432627,0.021234,0.023060,0.022731,0.023060,0.023060
5.477290,0.019858,0.021412,0.021078,0.021412,0.021412
5.521952,0.018546,0.019850,0.019513,0.019850,0.019850
5.566615,0.017296,0.018373,0.018036,0.018373,0.018374
5.611277,0.016108,0.016980,0.016644,0.016980,0.016980
5.655940,0.014981,0.015667,0.015334,0.015667,0.015667
5.700602,0.013914,0.014433,0.014105,0.014433,0.014434
5.745265,0.012904,0.013275,0.012953,0.013275,0.013276
5.789927,0.011952,0.012191,0.011877,0.012191,0.012192
5.834590,0.011054,0.011178,0.010872,0.011178,0.011179
5.879252,0.010209,0.010233,0.009936,0.010233,0.010234
5.923915,0.009416,0.009353,0.009066,0.009353,0.009354
5.968577,0.008673,0.008536,0.008260,0.008536,0.008536
6.013240,0.007977,0.007777,0.007512,0.007777,0.007778
6.057902,0.007326,0.007075,0.006822,0.007075,0.007075
6.102565,0.006720,0.006426,0.006185,0.006426,0.006427
6.147227,0.006155,0.005827,0.005598,0.005827,0.005828
6.191890,0.005630,0.005276,0.005059,0.005276,0.005277
6.236552,0.005142,0.004770,0.004564,0.004770,0.004770
6.281215,0.004690,0.004305,0.004112,0.004305,0.004305
6.325877,0.004272,0.003879,0.003698,0.003879,0.003880
6.370540,0.003886,0.003490,0.003320,0.003490,0.003491
6.415202,0.003530,0.003136,0.002976,0.003136,0.003136
6.459865,0.003202,0.002812,0.002664,0.002812,0.002813
6.504527,0.002900,0.002518,0.002380,0.002518,0.002519
6.549190,0.002623,0.002252,0.002124,0.002252,0.002252
6.593852,0.002370,0.002010,0.001892,0.002010,0.002010
6.638514,0.002138,0.001791,0.001682,0.001791,0.001792
6.683177,0.001926,0.001594,0.001493,0.001594,0.001594
6.727839,0.001732,0.001416,0.001324,0.001416,0.001417
6.772502,0.001556,0.001256,0.001172,0.001256,0.001257
6.817164,0.001396,0.001113,0.001035,0.001113,0.001113
6.861827,0.001250,0.000984,0.000913,0.000984,0.000984
6.906489,0.001119,0.000869,0.000804,0.000869,0.000869
6.951152,0.000999,0.000766,0.000707,0.000766,0.000766
6.995814,0.000891,0.000674,0.000621,0.000674,0.000674
7.040477,0.000794,0.000592,0.000544,0.000592,0.000592
7.085139,0.000706,0.000520,0.000476,0.000520,0.000520
7.129802,0.000628,0.000455,0.000416,0.000455,0.000455
7.174464,0.000557,0.000398,0.000363,0.000398,0.000398
7.219127,0.000493,0.000348,0.000316,0.000348,0.000348
7.263789,0.000436,0.000303,0.000275,0.000303,0.000303
