iter,base_p25,base_med,base_p75,vem_p25,vem_med,vem_p75,ecm_p25,ecm_med,ecm_p75,gem_p25,gem_med,gem_p75
50,0.063422,0.069798,0.112834,0.063239,0.072090,0.093657,0.063423,0.069798,0.113993,0.055797,0.067989,0.107409
51,0.063422,0.069798,0.112834,0.063143,0.072123,0.093658,0.063423,0.069799,0.114686,0.055687,0.067948,0.107755
52,0.063422,0.069798,0.112834,0.063052,0.072154,0.093658,0.063423,0.069799,0.115310,0.055542,0.067912,0.108091
53,0.063422,0.069798,0.112835,0.062967,0.072183,0.093659,0.063423,0.069799,0.115872,0.055519,0.067881,0.108418
54,0.063422,0.069798,0.112835,0.062887,0.072209,0.093659,0.063423,0.069799,0.116378,0.055693,0.067852,0.108736
55,0.063422,0.069798,0.113185,0.062812,0.072233,0.093659,0.063423,0.069799,0.116833,0.055842,0.067828,0.109046
56,0.063423,0.069798,0.113856,0.062741,0.072255,0.093659,0.063423,0.069799,0.117245,0.055970,0.067828,0.109346
57,0.063423,0.069798,0.114469,0.062675,0.072275,0.093659,0.063423,0.069799,0.117615,0.056080,0.067847,0.109638
58,0.063423,0.069798,0.115028,0.062613,0.072293,0.093660,0.063423,0.069799,0.117950,0.056174,0.067846,0.109922
59,0.063423,0.069798,0.115538,0.062554,0.072310,0.093660,0.063423,0.069799,0.118253,0.056256,0.067846,0.110198
60,0.063423,0.069799,0.116004,0.062500,0.072326,0.093660,0.063423,0.069799,0.118527,0.056327,0.067846,0.110465
61,0.063423,0.069799,0.116430,0.062449,0.072340,0.093660,0.063423,0.069799,0.118774,0.056388,0.067846,0.110724
62,0.063423,0.069799,0.116819,0.062401,0.072353,0.093660,0.063423,0.069799,0.118998,0.056441,0.067846,0.110975
63,0.063423,0.069799,0.117176,0.062356,0.072365,0.093660,0.063423,0.069799,0.119201,0.056486,0.067846,0.111218
64,0.063423,0.069799,0.117502,0.062314,0.072376,0.093660,0.063423,0.069799,0.119384,0.056557,0.067846,0.111454
65,0.063423,0.069799,0.117801,0.062275,0.072387,0.093660,0.063423,0.069799,0.119551,0.057250,0.067846,0.111682
66,0.063423,0.069799,0.118074,0.062238,0.072396,0.093660,0.063423,0.069799,0.119702,0.057921,0.067846,0.111903
67,0.063423,0.069799,0.118325,0.062204,0.072404,0.093660,0.063423,0.069799,0.119839,0.058569,0.067846,0.112116
68,0.063423,0.069799,0.118556,0.062172,0.072412,0.093660,0.063423,0.069799,0.119963,0.059194,0.067846,0.112322
69,0.063423,0.069799,0.118767,0.062142,0.072420,0.093660,0.063423,0.069799,0.120076,0.060184,0.067846,0.112521
70,0.063423,0.069799,0.118961,0.062115,0.072426,0.093660,0.063423,0.069799,0.120178,0.061882,0.067846,0.112714
71,0.063423,0.069799,0.119139,0.062089,0.072432,0.093660,0.063423,0.069799,0.120271,0.063395,0.067846,0.112818
72,0.063423,0.069799,0.119303,0.062065,0.072438,0.093660,0.063423,0.069799,0.120355,0.063398,0.068245,0.112820
73,0.063423,0.069799,0.119453,0.062042,0.072443,0.093660,0.063423,0.069799,0.120432,0.063401,0.069258,0.112822
74,0.063423,0.069799,0.119591,0.062021,0.072448,0.093660,0.063423,0.069799,0.120502,0.063404,0.069771,0.112823
75,0.063423,0.069799,0.119718,0.062001,0.072452,0.093660,0.063423,0.069799,0.120565,0.063406,0.069774,0.112825
76,0.063423,0.069799,0.119835,0.061983,0.072456,0.093660,0.063423,0.069799,0.120623,0.063408,0.069777,0.112826
77,0.063423,0.069799,0.119943,0.061966,0.072460,0.093660,0.063423,0.069799,0.120675,0.063410,0.069780,0.112827
78,0.063423,0.069799,0.120042,0.061950,0.072463,0.093660,0.063423,0.069799,0.120723,0.063411,0.069782,0.112828
79,0.063423,0.069799,0.120133,0.061935,0.072466,0.093660,0.063423,0.069799,0.120766,0.063413,0.069784,0.112829
80,0.063423,0.069799,0.120217,0.061921,0.072469,0.093660,0.063423,0.069799,0.120806,0.063414,0.069785,0.112829
